title,company,location,updated_time,url
【518熊班】 PHP工程師,數字科技股份有限公司,241台灣新北市三重區,1678839867,https://www.cakeresume.com/companies/addcn/jobs/php-ef17fb
🚀潛力股新創x台灣版小紅書💞 - 社群店商平台💻 - 後端工程師 (PHP或Go) - DP.,CakeResume Headhunting Recruitment Service,"Taipei, Taiwan",1678779334,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/06074b
紐約前二大租屋平台 - Full Stack Senior PHP Engineer - TC,CakeResume Headhunting Recruitment Service,台灣台北,1678872194,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/e2dc1e
上市跨國公司🌏 - 健身科技品牌🚴 - 資深後端工程師 (PHP/Node.js) - DP. ,CakeResume Headhunting Recruitment Service,"Neihu District, Taipei City, Taiwan 114",1678779333,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/fe39e4
🎊追求成長x資金穩定x自由開創！軟體服務前景佳新創公司 - PHP後端工程師(管理職培育) - CL,CakeResume Headhunting Recruitment Service,103台灣台北市大同區,1678779335,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/8ae169
PHP網站開發工程師,雄獅集團＿雄獅資訊科技,114台灣台北市內湖區,1679019874,https://www.cakeresume.com/companies/liontech-zh-tw-index/jobs/php-website-development-engineer-83d454
✨上市集團高流量電商公司🛒 每分鐘上萬筆流量! - PHP開發後端工程師 - CL,CakeResume Headhunting Recruitment Service,台灣台北市大安區,1678779336,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/b07e68
🇺🇸美國市占率前二! 房屋租屋上架平台✨100% English工作環境x全遠端 - Full Stack PHP Engineer - CL,CakeResume Headhunting Recruitment Service,110台灣台北市信義區,1678779336,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/cf35d9
記帳APP 知名追求技術的練工坊公司 自有產品非接案🔧 - PHP後端工程師x2 負責影音平台或雲端系統💻,CakeResume Headhunting Recruitment Service,220台灣新北市板橋區,1678779336,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/c43328
【結婚吧】PHP工程師,數字科技股份有限公司,241台灣新北市三重區,1678704870,https://www.cakeresume.com/companies/addcn/jobs/get-married-php-engineer
【Tasker外包網】PHP工程師,數字科技股份有限公司,241台灣新北市三重區,1678783758,https://www.cakeresume.com/companies/addcn/jobs/tasker-out-php-full-end-back-end-engineer
GM-遊戲PHP開發工程師,傲世娛樂文創有限公司,台灣台北,1678697841,https://www.cakeresume.com/companies/wowstar-one/jobs/cambodia-nt-game-php-developer
PHP 後端工程師 - 全遠端工作,旅人兄弟有限公司,708台灣台南市安平區,1678845223,https://www.cakeresume.com/companies/thetwins-zh-tw/jobs/backend-engineer-f46b48
Backend Engineer (Go / Node.js / Scala / Php) (Location : Kaoshiuang or Taipei),VIVERSE 宏願數位股份有限公司,台灣新北市新店區,1678082562,https://www.cakeresume.com/companies/viverse/jobs/backend-engineer-25a31c
PHP Full-stack Engineer,名卡有限公司,台灣台北,1678094368,https://www.cakeresume.com/companies/kktcg/jobs/php-full-stack-engineer
PHP Laravel Developer | 後端工程師,哇寶國際資訊股份有限公司,115台灣台北市南港區,1679121044,https://www.cakeresume.com/companies/wabow/jobs/backend-engineer-web-backend-developer-php-laravel
PHP Engineer(台北/嘉義)(可遠端),awoo阿物科技股份有限公司,105台灣台北市松山區,1678430907,https://www.cakeresume.com/companies/awoo/jobs/php-engineer-taipei-chiayi-remote-available
《數位科技》PHP後端工程師 Back End Engineer(3D遊戲設計/VR沉浸網頁),王一互動科技有限公司,105台灣台北市松山區,1679033434,https://www.cakeresume.com/companies/kingone-design/jobs/back-end-engineer-7d8d96
⚡年輕活潑x技術導向 - 軟體代工小團隊💻 - PHP工程師 (Jr.) -DP.   ,CakeResume Headhunting Recruitment Service,"Taipei, Taiwan",1678779334,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/96305b
(可遠端)📈上市集團x規模龐大 - 💻數位行銷公司 - PHP工程師 (Jr. to Mid) - DP. ,CakeResume Headhunting Recruitment Service,"Taipei, Taiwan",1678779334,https://www.cakeresume.com/companies/cakeresume-recruitment-consulting/jobs/4f8a33
PHP Laravel 網站後端工程師,帶心整合行銷企業社,701台灣台南市東區,1677145116,https://www.cakeresume.com/companies/dacn/jobs/php-website-backend-engineer-a76de2
家品媒體科技系統部_後端工程師PHP(大部份遠端工作),家品媒體科技有限公司,928台灣屏東縣東港鎮,1676624709,https://www.cakeresume.com/companies/support-jiapin-cloud/jobs/fffbfb
